danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.471,0.924,-3.906,0.0586,0.00301,0.0,0.313,0.725,154.961,3528IXKpbb7OMjdjWYlbfD,177280
0.707,0.752,-4.401,0.0885,0.269,0.0,0.377,0.724,150.061,2VhPOtIQw2UpQmRVevdviU,199373
0.545,0.686,-4.081,0.0665,0.00265,0.0,0.477,0.486,127.996,5RhxBpoCwX2vLBcSJzYa5j,186493
0.574,0.512,-6.664,0.0503,0.234,0.0,0.0946,0.512,76.899,4rHZZAmHpZrA3iH5zx8frV,484147
0.602,0.863,-5.423,0.0773,0.0178,0.0,0.389,0.732,150.183,05PNBWOlexyIehkrSmvZSY,206373
0.613,0.622,-5.794,0.0334,0.00882,0.0,0.37,0.484,80.003,2y4lAQpi5VTNLu2ldeTdUH,231240
0.705,0.769,-5.526,0.0425,0.113,0.0,0.105,0.583,107.949,22VdIZQfgXJea34mQxlt81,213520
0.645,0.585,-6.122,0.0513,0.00314,0.0,0.165,0.353,131.931,5jrdCoLpJSvHHorevXBATy,215672
0.733,0.65,-3.539,0.0315,0.0703,6.59e-05,0.0829,0.348,110.003,18AJRdgUoO9EYn11N7xzaT,209160
0.654,0.655,-7.388,0.106,0.0294,0.0,0.139,0.221,170.16,6xsEAm6w9oMQYYg3jkEkMT,200107
0.72,0.445,-6.855,0.036,0.318,1.8e-05,0.121,0.55,96.051,0MWXj22tRelQoeo42W9RpP,136933
0.734,0.637,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,3CRDbSIZ4r5MsZ0YwxuEkn,202333
0.836,0.552,-5.66,0.0851,0.0433,0.0,0.0773,0.525,97.036,5fHNot2sHBsTUMqaGQlksX,218173
0.503,0.616,-7.077,0.0432,0.00855,0.000198,0.0898,0.425,158.105,337cTvWOx1uwO7brzGgKlw,238960
0.472,0.908,-3.089,0.0751,0.0218,3.15e-06,0.172,0.221,127.992,4mdIgvRkq6F8Cfr0SsBlL0,165938
0.766,0.658,-6.721,0.0449,0.136,0.0973,0.113,0.185,122.981,3khtCyuzc6LaAaxKVbARlK,179792
0.693,0.705,-5.747,0.0665,0.0228,0.0,0.202,0.45,131.951,38iU2jg98IZZEIJPrP7aWD,237947
0.754,0.811,-3.679,0.0561,0.0185,5.18e-06,0.654,0.639,109.902,0PSZ9G584Ve27GK6ThlY6P,267960
0.751,0.736,-4.168,0.156,0.0206,0.0,0.265,0.352,130.014,1ve0SgTZkv3wdggJLqtBYU,262147
0.762,0.692,-3.973,0.0438,0.113,0.0,0.094,0.397,114.906,02XnQdf7sipaKBBHixz3Zp,208307
0.426,0.584,-5.293,0.296,0.0383,0.0,0.188,0.272,193.437,5mMjkxGijQB4JZallYrkOW,193213
0.696,0.893,-2.963,0.076,0.0662,0.0,0.473,0.573,97.954,5InWRmnfgjVwQWoXHNBATu,214013
0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007,2YWjW3wwQIBLNhxWKBQd16,176561
0.639,0.868,-5.613,0.0833,0.0159,0.255,0.249,0.123,128.096,2DbQpyXOWGsKW2R9zSvFq9,154687
0.722,0.761,-4.459,0.0475,0.0117,0.0,0.315,0.624,128.044,7pYfyrMNPn3wtoCyqcTVoI,201493
0.664,0.705,-4.972,0.0382,0.0654,0.0,0.115,0.477,122.017,6sy3LkhNFjJWlaeSMNwQ62,257840
0.626,0.799,-6.612,0.046,0.000358,0.00155,0.36,0.369,98.992,0iOu4s8w3pE9vbpb1SHXsL,274213
0.663,0.857,-2.16,0.0544,0.0542,0.0,0.144,0.931,126.039,6Vh03bkEfXqekWp7Y1UBRb,200213
0.809,0.589,-3.93,0.0797,0.077,0.0,0.108,0.407,72.503,4wZHBOyo45ctL7zWfpMToI,108414
0.62,0.805,-5.538,0.0417,0.00564,9.15e-05,0.285,0.586,122.062,2hHLbkatPwOOmrNxTiD41L,204764
0.581,0.774,-6.547,0.0399,0.000334,0.0174,0.109,0.358,127.952,0ddj5KtNqJ75lOJzgZNFFc,321173
0.71,0.748,-9.308,0.0556,0.00853,5.47e-05,0.0962,0.331,130.008,7tu7tfPWBfBdsU1FvSylYp,195697
0.715,0.97,-2.206,0.0648,0.0644,0.000156,0.205,0.963,79.504,3AszgPDZd9q0DpDFt4HFBy,239240
0.63,0.658,-4.992,0.157,0.164,0.000115,0.111,0.276,144.854,4oHCfvncVvZqkHL4RkPX3J,197793
0.713,0.718,-3.806,0.0278,0.00233,0.0,0.0838,0.656,126.999,5G2c6FsfTzgYUzageCmfXY,197600
0.642,0.548,-11.405,0.146,0.113,0.00375,0.083,0.664,169.01,28Ad08bqugTsDTK1xe9Smu,143991
0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,4lLtanYk6tkMvooU0tWzG8,222091
0.919,0.528,-8.926,0.23,0.00979,5.59e-05,0.37,0.855,119.988,113CqTH74b2jpFjPPU755D,161496
0.426,0.224,-8.683,0.0391,0.948,0.0,0.112,0.399,85.728,5nNTGNbxS30PX6sZpYh9hJ,230480
